paper_id,DOI,title,first_author,journal,year,sub_field,cited_by_count
1,10.1002/clen.202400009,Comparison of Machine Learning Algorithms for Prediction of Textile Effluent Treatment Efficiency Using Anaerobic Process,Saurabh Samuchiwal,"CLEAN – Soil, Air, Water",2024,WWTP,4.0
2,10.1002/ep.14494,Application of machine learning for optimization and modeling of turbidity removal from aqueous solution,Neelanjan Dutta,Environmental Progress &amp; Sustainable Energy,2024,coagulation,1.0
3,10.1002/wer.10893,Prediction of biogas production in anaerobic digestion of a full‐scale wastewater treatment plant using ensembled machine learning models,Jiasi Sun,Water Environment Research,2023,sludge,23.0
4,10.1002/wer.10932,Performance evaluation of hybrid constructed wetlands for nitrogen removal and statistical approaches,Suresh Kumar,Water Environment Research,2023,WWTP,6.0
5,10.1002/wer.10960,On the evaluating membrane flux of forward osmosis systems: Data assessment and advanced intelligent modeling,Hesamedin Hekmatmehr,Water Environment Research,2024,membrane,0.0
6,10.1002/wer.11136,Understanding machine learning predictions of wastewater treatment plant sludge with explainable artificial intelligence,Fuad Bin Nasir,Water Environment Research,2024,sludge,14.0
7,10.1002/wer.11139,Enhancing efficiency and quality control: The impact of Digital Twins in drinking water networks,Sergi Baena‐Miret,Water Environment Research,2024,DBP,6.0
8,10.1002/wer.70205,Predictive Modeling of Membrane Fouling in Domestic Wastewater Membrane Bioreactor Using Machine Learning,Thanh Nhat Nguyen,Water Environment Research,2025,membrane,1.0
9,10.1007/s10311-022-01524-8,A flocculation tensor to monitor water quality using a deep learning model,Guocheng Zhu,Environmental Chemistry Letters,2022,coagulation,12.0
10,10.1007/s10311-023-01602-5,Ecosystem-inspired model and artificial intelligence predicts pollutant consumption capacity by coagulation in drinking water treatment,Si Li,Environmental Chemistry Letters,2023,coagulation,10.0
11,10.1007/s10661-024-12467-8,Comparison of individual and ensemble machine learning models for prediction of sulphate levels in untreated and treated Acid Mine Drainage,Taskeen Hasrod,Environmental Monitoring and Assessment,2024,monitoring,11.0
12,10.1007/s10994-023-06413-x,GVFs in the real world: making predictions online for water treatment,Muhammad Kamran Janjua,Machine Learning,2023,membrane,1.0
13,10.1007/s11227-022-04827-3,Prediction model of sparse autoencoder-based bidirectional LSTM for wastewater flow rate,Jianying Huang,The Journal of Supercomputing,2022,monitoring,21.0
14,10.1007/s11270-024-07659-4,Coagulation-Flocculation/Pyrolysis Integrated System for Dye-Laden Wastewater Treatment: A Techno-Economic and Sustainable Approach,Gelasius Gregory Msemwa,"Water, Air, &amp; Soil Pollution",2024,coagulation,16.0
15,10.1007/s11783-024-1791-x,Brain-inspired multimodal approach for effluent quality prediction using wastewater surface images and water quality data,Junchen Li,Frontiers of Environmental Science &amp; Engineering,2023,WWTP,17.0
16,10.1007/s11947-023-03033-0,"Deep Study on Fouling Modelling of Ultrafiltration Membranes Used for OMW Treatment: Comparison Between Semi-empirical Models, Response Surface, and Artificial Neural Networks",Magdalena Cifuentes-Cabezas,Food and Bioprocess Technology,2023,membrane,22.0
17,10.1007/s13201-018-0821-8,Design and development of reverse osmosis (RO) plant status monitoring system for early fault prediction and predictive maintenance,Satyam Srivastava,Applied Water Science,2018,membrane,16.0
18,10.1007/s13201-019-1018-5,Machine learning techniques for monitoring the sludge profile in a secondary settler tank,Jesús Zambrano,Applied Water Science,2019,monitoring,7.0
19,10.1007/s13201-023-01957-8,A novel experimental and machine learning model to remove COD in a batch reactor equipped with microalgae,Atef El Jery,Applied Water Science,2023,WWTP,18.0
20,10.1007/s13399-023-04593-z,Comparison of prediction of biogas yield in a batch mode underground fixed dome digester with cow dung,KeChrist Obileke,Biomass Conversion and Biorefinery,2023,sludge,3.0
21,10.1007/s40747-020-00259-9,Machine learning based soft sensor model for BOD estimation using intelligence at edge,Bhawani Shankar Pattnaik,Complex &amp; Intelligent Systems,2021,monitoring,52.0
22,10.1007/s40747-021-00395-w,Reinforcement learning-based particle swarm optimization for sewage treatment control,Lu Lu,Complex &amp; Intelligent Systems,2021,control,57.0
23,10.1007/s43615-023-00329-3,Data-Driven Circular Economy of Biowaste to Bioenergy with Conventional Prediction Modelling and Machine Learning,Anthony Njuguna Matheri,Circular Economy and Sustainability,2023,sludge,2.0
24,10.1007/s44163-025-00728-5,Harnessing machine learning to mitigate water pollution in support of climate action,Bestami Özkaya,Discover Artificial Intelligence,2025,WWTP,0.0
25,10.1016/j.apenergy.2025.125781,Full-scale dynamic anaerobic digestion process simulation with machine and deep learning algorithms at intra-day resolution,Alberto Meola,Applied Energy,2025,sludge,5.0
26,10.1016/j.asej.2021.01.007,Investigating the reliability of machine learning algorithms as a sustainable tool for total suspended solid prediction,Balahaha Hadi Ziyad Sami,Ain Shams Engineering Journal,2021,monitoring,26.0
27,10.1016/j.biortech.2024.131362,Prediction and optimization of wastewater treatment process effluent chemical oxygen demand and energy consumption based on typical ensemble learning models,Jian Chen,Bioresource Technology,2024,WWTP,22.0
28,10.1016/j.biortech.2025.132210,Bayesian Optimization-Enhanced Reinforcement learning for Self-adaptive and multi-objective control of wastewater treatment,Ziang Zhu,Bioresource Technology,2025,control,12.0
29,10.1016/j.cep.2024.109736,Adaptive model forecasting of the time-variant fouling rate in dynamic ultrafiltration for produced water reclaim,Oscar A. Prado-Rubio,Chemical Engineering and Processing - Process Intensification,2024,membrane,3.0
