doi,paper_title,year,journal,sub_field,best_algorithm,ml_algorithms
10.1016/j.jhydrol.2020.125574,Radial basis function artificial neural network (RBF ANN) as well as the hybrid method of RBF ANN and grey relational analysis able to well predict trihalomethanes levels in tap water,2020,Journal of Hydrology,DBP,ANN,"['ANN', 'LR', 'RBF']"
10.1002/wer.11139,Enhancing efficiency and quality control: The impact of Digital Twins in drinking water networks,2024,Water Environment Research,DBP,XGBoost,"['XGBoost', 'clustering']"
10.1002/wer.10932,Performance evaluation of hybrid constructed wetlands for nitrogen removal and statistical approaches,2023,Water Environment Research,WWTP,SVM,"['ANN', 'LR', 'MLR', 'SVM', 'SVR']"
10.1021/acs.iecr.3c03067,Modeling an Adaptive Hybrid Soft Sensor with Co-training Learning toward Applications in Wastewater Treatment,2023,Industrial &amp; Engineering Chemistry Research,WWTP,Co-training RPLS-RELM,"['ANN', 'BP', 'ELM', 'GPR', 'KF', 'LR', 'PLS', 'RBP', 'RELM', 'RPLS', 'RVM']"
10.1016/j.jenvman.2023.119900,Effluent quality prediction of the sewage treatment based on a hybrid neural network model: Comparison and application,2024,Journal of Environmental Management,WWTP,Tent_BP_SSA2,"['ANN', 'BPNN', 'ELMAN', 'RBFNN', 'RNN', 'SSA']"
10.1061/joeedu.eeeng-7467,Unit Operation and Process Modeling with Physics-Informed Machine Learning,2024,Journal of Environmental Engineering,WWTP,PINN,"['ANN', 'DT', 'KNN', 'LSTM', 'PINN', 'PINNs', 'RF', 'RNN', 'SVM']"
10.2166/wst.2024.293,Hybrid modelling of nitrogen removal by biofiltration using high-frequent operational data,2024,Water Science &amp; Technology,WWTP,ANN,"['ANN', 'DT', 'LR', 'SVM']"
10.4491/eer.2024.403,Carbon emission prediction and reduction analysis of wastewater treatment plants based on hybrid machine learning models,2024,Environmental Engineering Research,WWTP,GWO-SVR-ANN,"['ANN', 'AdaBoost', 'DT', 'GBDT', 'GBM', 'LR', 'SVR']"
10.3390/agronomy15030703,Assessing Agricultural Reuse Potential of Treated Wastewater: A Hybrid Machine Learning Approach,2025,Agronomy,WWTP,ANN,"['ANFIS', 'ANN', 'FLM']"
10.3390/w17131851,Using Hybrid Machine Learning to Predict Wastewater Effluent Quality and Ensure Treatment Plant Stability,2025,Water,WWTP,Attention-LSTM1-XGBoost,"['ANN', 'EEMD', 'ELM', 'EMD', 'GRU', 'LSSVM', 'LSTM', 'RF', 'RL', 'SVM', 'TCN', 'XGBoost']"
10.2166/ws.2023.328,Reinforcement learning-based DSS for coagulant and disinfectant dosage selection on drinking water treatment plants,2023,Water Supply,coagulation,RL,"['ANN', 'RL']"
10.3390/w15061126,A Non-Hybrid Data-Driven Fuzzy Inference System for Coagulant Dosage in Drinking Water Treatment Plant: Machine-Learning for Accurate Real-Time Prediction,2023,Water,coagulation,D2FIS,"['ANFIS', 'ANN', 'CCN', 'D2FIS', 'GEP', 'GMDH', 'MLP', 'PNN', 'RBFN', 'RF', 'SGT', 'SVM', 'SVR']"
